"Omega, /s",Intensity
3826167246096108.0,2.2978519477329214e-30
3835364763514608.5,7.413635991580335e-30
3844562280933108.5,2.217614339290066e-30
3853759798351609.0,2.3548331218685893e-30
3862957315770109.0,4.5435338965594525e-30
3872154833188609.5,8.494289323707225e-31
3881352350607109.5,1.4704874055159771e-30
3890549868025610.0,3.12896239432686e-30
3899747385444110.0,3.4813063137003298e-31
3908944902862610.5,1.4892676615566645e-30
3918142420281110.5,2.559187604536007e-30
3927339937699611.0,1.0480058015113961e-31
3936537455118111.0,1.1669113969499434e-30
3945734972536611.5,1.0931833911761652e-30
3954932489955111.5,7.919596509443698e-32
3964130007373612.0,7.756118566271772e-31
3973327524792112.0,8.72854493277603e-31
3982525042210612.5,3.080083898980946e-32
3991722559629112.5,6.448335580088287e-31
4000920077047613.0,5.869999791350717e-31
4010117594466113.5,2.212423091618933e-31
4019315111884613.5,4.526767601032638e-31
4028512629303114.0,1.67150672743071e-31
4037710146721614.0,1.2103940710934287e-31
4046907664140114.5,3.2365230678708856e-31
4056105181558614.5,8.022062190685135e-32
4065302698977115.0,1.2141449662200967e-32
4074500216395615.0,4.345267873119976e-31
4083697733814115.5,2.2452371207169595e-32
4092895251232615.5,1.2539954085524196e-31
4102092768651116.0,8.315730438400578e-32
4111290286069616.0,4.9013804228042496e-33
4120487803488116.5,6.192160648325448e-32
4129685320906616.5,1.0078782610045897e-31
4138882838325117.0,1.8495278429859917e-32
4148080355743617.0,4.068465655434349e-32
4157277873162117.5,1.2006215323724754e-31
4166475390580617.5,3.227117140621417e-32
4175672907999118.0,1.126768368791717e-31
4184870425417618.0,3.323204645087176e-32
4194067942836118.5,9.756717851929024e-33
4203265460254618.5,5.732350969568412e-32
4212462977673119.0,3.4158403835717286e-32
4221660495091619.0,8.964561367596073e-32
4230858012510119.5,4.994562511202671e-32
4240055529928620.0,8.160711968285103e-32
4249253047347120.0,6.517248900439024e-32
4258450564765620.5,4.325578688700027e-32
4267648082184120.5,4.437557716789888e-33
4276845599602621.0,1.540929535574403e-33
4286043117021121.0,5.392855118732505e-32
4295240634439621.5,1.9685093218362558e-32
4304438151858121.5,1.2399825810037005e-31
4313635669276622.0,2.0361619319495482e-32
4322833186695122.0,6.303676927067433e-32
4332030704113622.5,2.3924801253970417e-32
4341228221532122.5,2.7879007482001633e-32
4350425738950623.0,5.264789448621125e-32
4359623256369123.0,4.7996750465645766e-32
4368820773787623.5,2.1507141692552307e-32
4378018291206123.5,1.393298515508103e-32
4387215808624624.0,2.885595719046935e-33
4396413326043124.0,2.673548373763278e-32
4405610843461624.5,6.831824894629912e-34
4414808360880124.5,2.743124018199473e-32
4424005878298625.0,6.989381618299106e-33
4433203395717125.0,2.845486292301234e-32
4442400913135625.5,1.3380831484116812e-32
4451598430554125.5,4.962453610915604e-33
4460795947972626.0,2.8196872230966603e-32
4469993465391126.0,6.539746084391166e-33
4479190982809626.5,7.271557808803636e-33
4488388500228127.0,7.153277281406196e-33
4497586017646627.0,1.2306747069930485e-32
4506783535065127.0,1.5156272926909657e-32
4515981052483628.0,7.422955422171279e-33
4525178569902128.0,7.654878552503531e-32
4534376087320628.0,1.9561894622842574e-32
4543573604739128.0,4.5514464998768427e-32
4552771122157629.0,5.776908894521238e-32
4561968639576129.0,1.273368211783804e-31
4571166156994629.0,5.367428443827516e-33
4580363674413129.0,7.39234315545192e-32
4589561191831630.0,4.93276038339593e-32
4598758709250130.0,3.8142814234119397e-32
4607956226668630.0,2.2722953814963542e-32
4617153744087130.0,7.73915522744938e-33
4626351261505631.0,1.3443285500944518e-32
4635548778924131.0,5.79983989024959e-33
4644746296342631.0,2.1051683485407236e-33
4653943813761131.0,1.0388750236896025e-32
4663141331179632.0,1.2309153973817467e-32
4672338848598132.0,5.741415888901564e-32
4681536366016632.0,2.5022780339843624e-32
4690733883435132.0,1.5645079524371747e-32
4699931400853633.0,3.1505081704827045e-32
4709128918272133.0,8.173720186503185e-32
4718326435690633.0,2.119007561707887e-31
4727523953109134.0,2.591241079348619e-32
4736721470527634.0,2.0651231848850087e-32
4745918987946134.0,5.581567354170706e-32
4755116505364634.0,1.4395582095685368e-31
4764314022783135.0,8.530909460198979e-32
4773511540201635.0,3.145751114591756e-33
4782709057620135.0,7.056517689438214e-33
4791906575038635.0,1.2120056164913685e-32
4801104092457136.0,3.551397452831684e-33
4810301609875636.0,1.7768538051885805e-32
4819499127294136.0,1.2249999065090317e-32
4828696644712636.0,2.0508119550089984e-32
4837894162131137.0,1.1129477084433526e-32
4847091679549637.0,7.259446007756636e-33
4856289196968137.0,9.769484537267955e-34
4865486714386637.0,2.2362263110190674e-33
4874684231805138.0,4.631203826189122e-32
4883881749223638.0,9.396656896814958e-32
4893079266642138.0,8.673921154004262e-32
4902276784060638.0,9.010851664933235e-33
4911474301479139.0,1.8744515710231712e-32
4920671818897639.0,1.9175314971336227e-32
4929869336316139.0,1.243562944883901e-31
4939066853734639.0,5.342904368251783e-32
4948264371153140.0,2.2316261947601393e-32
4957461888571640.0,4.350256793972841e-32
4966659405990140.0,1.0932740821108519e-32
4975856923408641.0,1.539569628624739e-32
4985054440827141.0,2.372485707542935e-32
4994251958245641.0,2.792333392122349e-32
