radius,Fibre Length,Transmission
9e-05,3.0,0.3202027875331587
0.00011,0.1,0.9794109035078875
0.00011,0.2,0.9592461905829219
0.00011,0.3,0.939497096827149
0.00011,0.4,0.9201550442221108
0.00011,0.5,0.9012116365028416
0.00011,0.6,0.8826586515249609
0.00011,0.7,0.8644880322227333
0.00011,0.7999999999999999,0.8466918834839765
0.00011,0.8999999999999999,0.8292624810622183
0.00011,0.9999999999999999,0.8121922718808859
0.00011,1.0999999999999999,0.7954738257655343
0.00011,1.2,0.7790999004268776
0.00011,1.3,0.7630633829351929
0.00011,1.4,0.7473573088029075
0.00011,1.5,0.7319748723741762
0.00011,1.5999999999999999,0.7169093848017775
0.00011,1.7,0.7021543174789541
0.00011,1.8,0.6877032672905424
0.00011,1.9,0.6735499558185496
0.00011,2.0,0.6596882486333618
0.00011,2.0999999999999996,0.6461121239019771
0.00011,2.1999999999999997,0.6328157067071659
0.00011,2.3,0.619793211148672
0.00011,2.4,0.6070389956485464
0.00011,2.5,0.5945475223776725
0.00011,2.6,0.5823133825170769
0.00011,2.6999999999999997,0.5703312601927993
0.00011,2.8,0.5585959667880829
0.00011,2.9,0.5471023983540689
0.00011,3.0,0.5358455797873675
0.00013,0.1,0.987475441865747
0.00013,0.2,0.9751079133069666
0.00013,0.3,0.962895463475455
0.00013,0.4,0.9508361336874405
0.00013,0.5,0.9389280009364357
0.00013,0.6,0.9271691701962946
0.00013,0.7,0.9155577670984228
0.00013,0.7999999999999999,0.9040919373383706
0.00013,0.8999999999999999,0.8927698583406853
0.00013,0.9999999999999999,0.8815897226341831
0.00013,1.0999999999999999,0.8705497534666503
0.00013,1.2,0.8596481835832012
0.00013,1.3,0.8488832855808623
0.00013,1.4,0.8382533372929573
0.00013,1.5,0.8277566467279885
0.00013,1.5999999999999999,0.8173915430260187
0.00013,1.7,0.807156373987774
0.00013,1.8,0.7970495074315833
0.00013,1.9,0.7870693383556098
0.00013,2.0,0.77721426962042
0.00013,2.0999999999999996,0.7674827376867176
0.00013,2.1999999999999997,0.7578731924822046
0.00013,2.3,0.7483840935589424
0.00013,2.4,0.7390139383548844
0.00013,2.5,0.7297612260129858
0.00013,2.6,0.7206244955860444
0.00013,2.6999999999999997,0.7116022839807841
0.00013,2.8,0.7026931562016034
0.00013,2.9,0.693895691762289
0.00013,3.0,0.6852084920669734
