Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11	Intensity12	Intensity13	Intensity14	Intensity15	Intensity16
182.2076	-9.199797	9.207877	13.13406	-7.626505	-2.667754	-11.169	6.3333	-2.772534	-4.206506	-10.43019	4.658268	-19.34023	9.163378	-12.07435	0.1659888	-31.26436
182.5508	4.622277	1.992262	7.632959	-8.351439	-4.653184	-11.00973	18.5177	-7.70064	-3.533825	-9.909459	6.895738	-9.392632	3.664287	-11.29614	-10.07017	-12.29246
182.8939	9.567085	-0.750932	-4.25558	-17.12125	-2.174637	3.407198	11.76249	-20.32076	-1.721595	-4.742321	-3.561939	-9.414813	1.253116	-15.16478	-5.524199	-4.666842
183.2371	12.74227	-5.992951	-0.0132089	-11.5617	6.249611	14.21406	-0.6846523	-13.26137	5.396536	-6.937378	-10.27409	-1.002841	-4.357178	0.243818	2.18369	2.732978
183.5802	6.273562	-13.64822	4.038351	-5.987251	3.737318	4.01168	-4.368803	-11.2663	5.540802	-13.0484	-16.01844	-6.444595	-7.463045	-1.525105	7.690789	-11.46621
183.9234	-8.044885	-26.5226	-12.62847	-15.33701	-10.86852	-8.472174	-10.95902	-13.61339	-2.099711	-36.42122	-15.57009	-25.22851	-22.59577	-18.01736	-11.57082	-29.40488
184.2665	92.50916	78.31553	85.84239	95.0631	88.78194	104.7135	95.59283	94.96037	95.37585	75.88657	100.1758	75.91947	93.26879	82.68494	103.3747	72.1222
184.6096	124.1401	116.0597	127.1492	131.8788	122.8827	135.9183	120.9103	133.0073	127.5975	110.7117	135.1437	121.1103	131.2495	120.0845	141.8652	122.8465
184.9527	77.49512	76.69678	86.325	93.84428	83.70123	83.31875	75.6522	91.34909	85.17548	71.05444	76.79613	87.28994	72.06828	77.9452	99.62567	97.37258
185.2958	-28.79671	-13.93032	-26.33875	-17.87036	-18.36344	-18.81174	-22.52802	-12.59316	-14.8378	-30.29485	-32.0942	-29.22948	-39.41	-20.15272	-11.43953	-11.29421
185.6389	-7.706673	7.33637	-6.723023	-9.233411	1.816467	1.682163	13.23494	7.390349	7.829002	-9.455163	-2.740535	-28.55322	-6.676115	2.879527	3.928789	-12.70235
185.982	-6.70545	12.3227	-6.850878	-11.51705	6.421088	-0.06704105	12.03168	-0.906293	18.27791	-6.099535	9.208945	-16.37356	4.731389	5.239641	2.157791	-17.77889
