Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11	Intensity12	Intensity13	Intensity14	Intensity15
191.8134	-10.88266	11.56881	-1.45462	-0.3011899	8.797158	-10.36062	7.164151	-3.858829	-6.293594	-6.618195	0.7530109	11.3033	6.318505	13.23658	2.581476
192.1564	4.636954	10.89403	6.309479	12.5249	-1.071167	-12.687	-7.615793	2.365535	-1.334216	-8.990305	14.75704	13.47735	4.947958	19.88406	1.081315
192.4993	-0.1559449	12.92362	3.349455	12.76339	-4.91431	-17.1926	-2.006066	9.761169	1.667316	-8.006441	11.87881	12.16581	2.946363	13.88728	-1.716029
192.8423	12.31392	4.648728	4.956697	6.259503	-16.38275	-3.909796	-3.912317	-0.7371452	-0.4811398	5.637514	5.789938	-1.471287	-9.258463	-3.133377	5.662369
193.1852	12.78596	4.409261	-5.976944	-6.151114	-7.570111	-0.8324559	4.627658	-0.4872221	-9.466426	0.419912	-6.465542	-5.295613	-13.88364	-7.465858	-6.284074
193.5282	9.653017	9.239796	2.712804	-3.63812	-0.9559103	11.91041	11.29643	4.540985	-3.53183	-0.8997166	9.077044	7.101894	-10.97318	10.52551	-1.185159
193.8711	1.035126	10.18085	11.99551	-9.041174	3.237296	6.832912	15.50615	1.599813	-1.032555	-8.587257	5.66979	8.007524	4.765923	11.7025	4.833429
194.214	-1.496746	15.02378	16.11622	1.630984	-2.049367	5.48874	13.6718	1.229224	1.345097	-7.120042	3.197319	2.204561	5.290387	9.728659	9.486229
194.5569	-6.386635	14.94897	-2.646724	3.760627	-4.818171	0.2977591	14.65777	13.41091	-2.142116	-5.325313	-5.74538	-1.121128	4.019207	7.312178	3.480449
194.8998	-10.76931	8.656891	-14.62397	6.749205	6.737155	5.038515	10.33586	10.95116	15.57446	2.994441	-3.362277	10.69928	8.411875	7.50031	1.660609
195.2427	-17.90505	12.64916	-11.39948	-3.755332	12.37928	-5.333476	3.381614	8.307632	15.71689	0.6873105	3.362046	19.70518	10.89905	5.194664	3.639287
195.5856	-12.05467	16.42727	-1.513193	6.647191	14.49769	-9.449952	5.622865	11.81444	-3.877134	-4.063988	13.58277	17.62298	2.132783	11.08641	-2.940302
195.9285	-9.611334	7.787762	-0.6270208	7.101246	11.45518	-2.469997	14.30627	22.05216	-15.16267	-1.351744	10.87365	6.248386	-13.19141	9.882911	-10.08881
196.2713	-8.997282	-2.065349	-5.780641	9.790884	11.53945	2.241162	14.76554	18.87302	-9.691491	15.30274	12.70229	-2.473656	-1.86776	7.880782	-10.3855
196.6142	-13.17002	-9.468826	-5.225343	-1.043444	1.893621	-0.7100918	1.47848	9.690629	1.904103	14.22457	7.67413	-11.52219	-1.110048	2.439805	-3.224216
196.9571	-0.5751772	-4.422296	-6.853879	5.690485	8.038913	-3.859089	-9.731967	8.938113	3.645577	7.276197	13.04017	-4.38997	7.70532	3.873661	-4.51255
197.2999	8.221751	5.684374	-8.894864	5.905068	-0.4368711	-5.787111	-11.04666	8.642906	8.925913	-0.1098798	-3.613168	1.620227	5.801429	-0.1976273	-5.397473
197.6428	0.6833537	17.33712	-10.52773	6.362828	0.4024145	-3.296785	-2.66099	13.03818	4.350054	-0.3507053	1.650861	11.93221	5.505157	16.10119	-5.879869
197.9856	-3.32391	7.064033	-4.991118	-14.31291	-10.98361	6.674106	-1.553123	5.857233	0.2345226	-6.010888	-5.695069	1.453232	-10.92687	23.43116	-5.409406
198.3284	-13.48541	0.0842118	0.2113269	-11.96808	-0.180032	8.81459	3.062894	-1.87248	6.113592	-4.607126	10.54452	-8.252066	-14.15612	14.61368	-2.052204
