Iteration,"target width, \m","energy, J","pressure, bar","grating pair displacement, m"
143,3.2697597502302515e-08,0.0010415754089189424,0.5376709748473725,9.59838559057149e-05
144,3.2697602960972886e-08,0.00032952766215095167,2.5993395933459267,0.0001579910437834658
145,3.269758829948533e-08,0.0008270199127442904,2.2019486975088016,-0.0003449870317960979
146,3.2697575645290934e-08,0.00142592366182889,2.1688093665546933,0.00016714426584184434
147,3.2697579977411006e-08,0.0004850857322741783,1.6904298492906134,-0.00015586713926045572
148,3.269758056055389e-08,0.0001908782424723627,2.204247754344985,0.00041022767662760755
149,3.269756954469355e-08,0.0008415019109987875,1.7323578375177084,-0.0001344013336912011
150,3.269758080730738e-08,0.000887809039962882,1.5466876994903611,0.00017706396386499388
151,3.269757888913123e-08,0.0003251365753269805,1.5432416398373239,0.00036522065319085815
152,3.269758728660546e-08,0.001480913335539196,1.6404103835782509,1.0217483300506793e-05
153,3.269757862520775e-08,0.00036927001511722214,0.7770442077351264,-0.0003850273147571594
154,3.2697575520141585e-08,0.0004847301412918181,1.7841903397220737,0.0004009663296807383
155,3.2697579269563465e-08,0.0009693636390089341,1.5466412987750506,0.00026325204707760587
156,3.269760954244017e-08,0.000475174922692223,2.2335293433411776,0.0004833408527391426
157,3.2697579181817496e-08,0.0013506194060726577,0.5085046306925448,6.252874291082548e-05
158,3.269755479755724e-08,0.0012439842069472652,2.594155207871796,0.000418566248054002
159,3.269758053965964e-08,0.0002940988043870973,2.3361555445206506,0.0001982272843802582
160,3.269757985536215e-08,0.0009273013658373926,1.732431522015199,-0.00034699879400602196
161,3.2697568992258785e-08,0.0006958655655732594,2.233642781137493,0.00047113592025544847
162,3.269759717612881e-08,0.0004774687883228659,1.7842649550107779,0.000320598588909747
163,3.269757779899236e-08,0.0008263660833160072,0.9704676897597552,0.00010797787407848688
164,3.269759085311644e-08,0.0008391110883687468,3.256170293347372,0.00045481090292532743
165,3.26975782431141e-08,0.0004890554964264532,0.7769711459419016,-0.00026538756632415593
166,3.269758922408189e-08,0.00045785043653966297,2.2334610465545772,0.0004796524304600024
167,3.269760716992269e-08,0.0009496024754902286,2.758451388584253,-0.00042316060205934683
168,3.269756753321828e-08,0.000861820673295298,1.4465865921897296,0.0002143498860834043
169,3.2697571265582275e-08,0.0013035700049247678,0.5086390703039582,-1.2503157911349387e-05
170,3.2697576687508344e-08,0.00043346108288669724,3.408844449387654,7.326907992812168e-05
171,3.269756215919988e-08,0.0006504842645842123,0.9145849969332357,0.00018321089688662937
172,3.2697574799194124e-08,0.00043480556595615864,1.6903985310063723,-0.0002363252622957428
173,3.2697617015378717e-08,0.0010488017320374127,3.223501755274464,0.0003089078684678085
174,3.2697593560128256e-08,0.00034748325360951565,2.0918012832322375,-0.0002907866337683824
175,3.269757355743436e-08,0.0012555781510444894,2.1749265690111876,-0.0003801081140022372
176,3.269759317799771e-08,0.0009610138449144972,1.5467578727956397,0.0002638831477967459
177,3.2697565448974297e-08,0.0008159432042018751,3.2991142795847543,0.0002107563877506147
178,3.2697584368847186e-08,0.0008734445547312209,2.202022227785477,-0.0002893983747528798
179,3.2697588428766536e-08,0.0009738978335143985,1.4465647580485679,0.00019450067018229
180,3.2697599623151056e-08,0.0001422580655406732,0.8365739032992812,-0.0002571714328536193
181,3.269756646955663e-08,0.00022741463017813033,0.8365665479414577,-0.00013068150581893367
182,3.269758376317342e-08,0.00015720290935436704,1.4961792119079154,-0.0002947367315285813
183,3.2697593453618885e-08,0.0003625389876773981,1.6902681078227497,-0.00011834200046135644
184,3.269758176676907e-08,0.0012104441180934412,1.8971642575591159,-7.119321389279865e-06
185,3.269759323979106e-08,0.000889007492285432,1.3571660733488697,0.00035719199524332555
186,3.269757427382378e-08,0.0014214358787942255,2.384277528131505,0.0001650294010602199
187,3.269758971238216e-08,0.0004797540597122528,0.5581158387462012,-0.00047267942477911595
188,3.2697561197952674e-08,0.0008737431650303972,2.7401533329176284,-0.00023785446664750353
189,3.269759930816873e-08,0.0009117178816666079,3.256184551736133,0.0003084709571751224
190,3.2697589044180164e-08,0.0008843781433594949,1.3571212666488872,0.00031131390755195646
191,3.269759739294591e-08,0.00013708222432681015,1.5341882012118828,0.0003248996758025373
192,3.2697595811499656e-08,0.0008511788491192161,0.9704077759712624,0.000379279339391118
193,3.269759662928401e-08,0.0009911650157329508,0.5547795822365014,0.00028081682129120716
194,3.2697590167874195e-08,0.0011515244552394181,0.537587242783929,1.638805324280328e-05
195,3.269757860705575e-08,0.0009934477284052879,3.2235170298534195,0.00034881226346949567
196,3.2697580628134406e-08,0.0011653785112292793,2.744377025428053,0.00030570265720384206
197,3.269757951597727e-08,0.0002521262621112074,1.5342293021168425,0.00037652105587789725
198,3.269757917763617e-08,0.0012756126893162137,3.4303866173391326,-0.00043461076951786695
199,3.269758823073134e-08,0.0007587128811763782,1.3571314702597903,0.0002577050145330284
