"GDD, fs^2","FOD, fs^4","Simulated Angular Frequency Width, /s"
257.8947368421053,-41263.15789473685,327935060986535.0
257.8947368421053,-29473.684210526317,327824184917996.5
257.8947368421053,-17684.21052631579,327712743698172.4
257.8947368421053,-5894.736842105263,327601848843357.5
257.8947368421053,5894.736842105263,327493613245664.9
257.8947368421053,17684.21052631579,327389429862744.8
257.8947368421053,29473.6842105263,327290283384243.0
257.8947368421053,41263.157894736825,327198221778984.2
257.8947368421053,53052.63157894735,327114786320948.6
257.8947368421053,64842.10526315788,327043352434660.2
257.8947368421053,76631.57894736841,326985323512432.25
257.8947368421053,88421.05263157893,326943321371682.56
257.8947368421053,100210.52631578947,326920939677284.6
257.8947368421053,111999.99999999999,326920197900209.4
331.5789473684212,-111999.99999999999,325961671263793.2
331.5789473684212,-100210.52631578947,325877686833854.9
331.5789473684212,-88421.05263157893,325786670760288.25
331.5789473684212,-76631.57894736841,325688366319716.9
331.5789473684212,-64842.10526315789,325582219696766.7
331.5789473684212,-53052.63157894737,325467411450867.7
331.5789473684212,-41263.15789473685,325344874945260.06
331.5789473684212,-29473.684210526317,325214876007807.5
331.5789473684212,-17684.21052631579,325077381910866.3
331.5789473684212,-5894.736842105263,324934615699143.2
331.5789473684212,5894.736842105263,324787050057809.3
331.5789473684212,17684.21052631579,324636428187799.8
331.5789473684212,29473.6842105263,324485856650679.06
331.5789473684212,41263.157894736825,324336395858766.56
331.5789473684212,53052.63157894735,324191277499649.4
331.5789473684212,64842.10526315788,324054325906102.25
331.5789473684212,76631.57894736841,323928712754301.0
331.5789473684212,88421.05263157893,323818255202665.06
331.5789473684212,100210.52631578947,323728374720545.4
331.5789473684212,111999.99999999999,323662601350833.4
405.263157894737,-111999.99999999999,322409402043692.56
405.263157894737,-100210.52631578947,322283599748099.06
405.263157894737,-88421.05263157893,322145645778270.9
405.263157894737,-76631.57894736841,321996613423303.1
405.263157894737,-64842.10526315789,321836564291705.4
405.263157894737,-53052.63157894737,321667193985321.4
405.263157894737,-41263.15789473685,321489855795908.75
405.263157894737,-29473.684210526317,321306840029754.1
405.263157894737,-17684.21052631579,321121019182810.0
405.263157894737,-5894.736842105263,320937574431365.5
405.263157894737,5894.736842105263,320759359094368.9
405.263157894737,17684.21052631579,320592685116500.2
405.263157894737,29473.6842105263,320442619251513.94
405.263157894737,41263.157894736825,320316941090261.3
405.263157894737,53052.63157894735,320221943462379.9
405.263157894737,64842.10526315788,320166689630356.94
405.263157894737,76631.57894736841,320159519386775.44
405.263157894737,88421.05263157893,320210685585086.75
405.263157894737,100210.52631578947,320330931202057.3
405.263157894737,111999.99999999999,320532511620615.56
478.9473684210528,-111999.99999999999,317486921914377.06
478.9473684210528,-100210.52631578947,317274062830808.44
478.9473684210528,-88421.05263157893,317070974322975.6
478.9473684210528,-76631.57894736841,316886658253850.56
478.9473684210528,-64842.10526315789,316729311610404.94
478.9473684210528,-53052.63157894737,316609005961101.1
478.9473684210528,-41263.15789473685,316537258378427.56
478.9473684210528,-29473.684210526317,316526014051253.9
478.9473684210528,-17684.21052631579,316592638670591.5
478.9473684210528,-5894.736842105263,316748074022998.56
478.9473684210528,5894.736842105263,317013097766162.75
478.9473684210528,17684.21052631579,317397993830135.9
478.9473684210528,29473.6842105263,316185799058639.0
478.9473684210528,41263.157894736825,316039792150602.25
478.9473684210528,53052.63157894735,315908205365784.8
478.9473684210528,64842.10526315788,315782580597194.75
478.9473684210528,76631.57894736841,315657174462205.0
478.9473684210528,88421.05263157893,315525460053828.6
478.9473684210528,100210.52631578947,315382346809878.4
478.9473684210528,111999.99999999999,315225545617037.6
552.6315789473686,-111999.99999999999,312310088401069.2
552.6315789473686,-100210.52631578947,312152661303821.2
552.6315789473686,-88421.05263157893,312006427863050.7
552.6315789473686,-76631.57894736841,311862977317427.56
552.6315789473686,-64842.10526315789,311714535284248.25
552.6315789473686,-53052.63157894737,311554711493579.25
552.6315789473686,-41263.15789473685,311378408767988.75
552.6315789473686,-29473.684210526317,311182051802778.56
552.6315789473686,-17684.21052631579,310965256296043.94
552.6315789473686,-5894.736842105263,310727351649130.56
552.6315789473686,5894.736842105263,310471695826432.8
552.6315789473686,17684.21052631579,310202707047274.0
552.6315789473686,29473.6842105263,309928315564792.5
552.6315789473686,41263.157894736825,309656439729409.06
552.6315789473686,53052.63157894735,309398758873006.1
552.6315789473686,64842.10526315788,309168879550668.1
552.6315789473686,76631.57894736841,308983452535051.9
552.6315789473686,88421.05263157893,308859778896107.94
552.6315789473686,100210.52631578947,308818809378712.9
552.6315789473686,111999.99999999999,308882696078794.3
626.3157894736843,-111999.99999999999,305025497175252.5
626.3157894736843,-100210.52631578947,304850579162044.25
626.3157894736843,-88421.05263157893,304758577835741.0
626.3157894736843,-76631.57894736841,304774227869657.3
626.3157894736843,-64842.10526315789,304928171370160.75
626.3157894736843,-53052.63157894737,305251698051329.2
626.3157894736843,-41263.15789473685,305784335730932.8
626.3157894736843,-29473.684210526317,304233139197769.6
626.3157894736843,-17684.21052631579,304042406467171.5
626.3157894736843,-5894.736842105263,303861896310548.5
626.3157894736843,5894.736842105263,303679034430671.75
626.3157894736843,17684.21052631579,303483119573605.9
