"TOD, fs^3","FOD, fs^4","Simulated Angular Frequency Width, /s"
16947.368421052637,111999.99999999999,331586856888731.5
21789.473684210527,-111999.99999999999,330868550666799.4
21789.473684210527,-100210.52631578947,330865487132049.25
21789.473684210527,-88421.05263157893,330861745825929.2
21789.473684210527,-76631.57894736841,330857701347168.75
21789.473684210527,-64842.10526315789,330852984544506.3
21789.473684210527,-53052.63157894737,330847873907347.44
21789.473684210527,-41263.15789473685,330842426570087.0
21789.473684210527,-29473.684210526317,330837284287306.0
21789.473684210527,-17684.21052631579,330831297894707.06
21789.473684210527,-5894.736842105263,330825134554012.8
21789.473684210527,5894.736842105263,330818142824717.06
21789.473684210527,17684.21052631579,330811373871176.06
21789.473684210527,29473.6842105263,330804184527656.56
21789.473684210527,41263.157894736825,330796792708589.06
21789.473684210527,53052.63157894735,330789064036032.56
21789.473684210527,64842.10526315788,330781744639144.8
21789.473684210527,76631.57894736841,330773486757349.1
21789.473684210527,88421.05263157893,330765475088419.4
21789.473684210527,100210.52631578947,330757671170650.44
21789.473684210527,111999.99999999999,330749614558271.5
26631.578947368427,-111999.99999999999,330643900203013.3
26631.578947368427,-100210.52631578947,330640149954405.1
26631.578947368427,-88421.05263157893,330635984415395.3
26631.578947368427,-76631.57894736841,330631339349560.94
26631.578947368427,-64842.10526315789,330625787161387.6
26631.578947368427,-53052.63157894737,330620563738369.9
26631.578947368427,-41263.15789473685,330614331437022.6
26631.578947368427,-29473.684210526317,330607692710336.3
26631.578947368427,-17684.21052631579,330600650395882.0
26631.578947368427,-5894.736842105263,330593084715998.9
26631.578947368427,5894.736842105263,330585258672315.0
26631.578947368427,17684.21052631579,330576907937337.75
26631.578947368427,29473.6842105263,330567675798182.0
26631.578947368427,41263.157894736825,330558637958587.7
26631.578947368427,53052.63157894735,330548622617346.4
26631.578947368427,64842.10526315788,330538642946793.44
26631.578947368427,76631.57894736841,330527871614661.94
26631.578947368427,88421.05263157893,330516988240589.75
26631.578947368427,100210.52631578947,330505731094728.7
26631.578947368427,111999.99999999999,330494063090875.06
31473.684210526317,-111999.99999999999,329737486781527.94
31473.684210526317,-100210.52631578947,329733096756014.0
31473.684210526317,-88421.05263157893,329727673254813.8
31473.684210526317,-76631.57894736841,329722679734998.06
31473.684210526317,-64842.10526315789,329715918302343.75
31473.684210526317,-53052.63157894737,329708891530814.75
31473.684210526317,-41263.15789473685,329701550541904.56
31473.684210526317,-29473.684210526317,329692955876890.56
31473.684210526317,-17684.21052631579,329684203727203.6
31473.684210526317,-5894.736842105263,329674876345598.56
31473.684210526317,5894.736842105263,329663818082426.1
31473.684210526317,17684.21052631579,329652777589664.2
31473.684210526317,29473.6842105263,329640815844817.5
31473.684210526317,41263.157894736825,329628625617320.44
31473.684210526317,53052.63157894735,329615415097697.3
31473.684210526317,64842.10526315788,329601381501824.8
31473.684210526317,76631.57894736841,329586523717601.44
31473.684210526317,88421.05263157893,329570499042273.6
31473.684210526317,100210.52631578947,329554676589203.44
31473.684210526317,111999.99999999999,329537759647940.8
36315.789473684206,-111999.99999999999,328101692847137.7
36315.789473684206,-100210.52631578947,328096871156124.44
36315.789473684206,-88421.05263157893,328091347236223.56
36315.789473684206,-76631.57894736841,328087001922709.25
36315.789473684206,-64842.10526315789,328082032453037.5
36315.789473684206,-53052.63157894737,328076516499429.75
36315.789473684206,-41263.15789473685,328071178938177.2
36315.789473684206,-29473.684210526317,328065907094834.25
36315.789473684206,-17684.21052631579,328060952272719.7
36315.789473684206,-5894.736842105263,328055550791411.25
36315.789473684206,5894.736842105263,328050650592270.06
36315.789473684206,17684.21052631579,328044682676931.5
36315.789473684206,29473.6842105263,328040540661981.0
36315.789473684206,41263.157894736825,328035900864337.7
36315.789473684206,53052.63157894735,328031361622795.94
36315.789473684206,64842.10526315788,328027038251656.44
36315.789473684206,76631.57894736841,328023146026420.1
36315.789473684206,88421.05263157893,328019625978494.2
36315.789473684206,100210.52631578947,328017164558544.44
36315.789473684206,111999.99999999999,328014102521763.44
41157.89473684211,-111999.99999999999,327297439400308.4
