SPECTRUM DATA FILE
SpectrumCount:	7
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	press0_2	press0_4	press0_6	press0_8	press1_0	press1_2	press1_4
Date:	2022-02-16T16:39:57.0793301+00:00	2022-02-16T16:41:53.4875983+00:00	2022-02-16T16:42:37.8891153+00:00	2022-02-16T16:43:58.5908464+00:00	2022-02-16T16:44:44.0927301+00:00	2022-02-16T16:47:09.5960090+00:00	2022-02-16T16:48:10.2987359+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	10	10	10	10	10	10	10
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.2710881	0.222379	0.1448925	0.08582424	0.06430244	0.06372198	0.05398405
Temperature:	24.6405	24.53796	24.53796	24.6405	24.53796	24.6405	24.53796
DiagramColor:	200	16711680	49152	16711935	42495	12632064	3368611
ProcessingSteps:	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7
208.6099	-2.677536	9.923985	-10.21591	-7.662291	4.277962	-10.69001	-14.29115
208.9525	-6.086517	0.224546	-10.75712	-12.6224	-1.161374	-19.41791	-5.534883
209.2951	4.072876	0.4219122	-8.593695	-10.69902	1.13275	-18.24399	0.3159134
209.6376	0.3387849	3.426276	-10.83401	-11.39396	8.17829	-17.78998	-10.05635
209.9802	1.477588	8.754432	-5.721662	1.43967	-0.650364	-10.3964	-10.17445
210.3228	-3.466755	5.697773	-3.060864	-5.341136	0.1017634	-13.5026	1.766016
210.6653	2.338308	-4.487821	-3.083104	-0.4023629	3.492126	-3.613941	8.391703
211.0079	-2.693793	-16.13898	-1.474387	-8.576449	6.396703	-5.870704	0.4565044
211.3504	3.107196	-0.4998886	-7.024312	-16.96024	-3.648929	-23.79445	-7.806548
211.693	-3.760523	12.15641	-11.86337	-24.9828	-4.792493	-24.65812	-2.370481
212.0355	0.1205478	2.75967	-13.96609	-10.96954	-2.876502	-9.357798	-0.08562446
212.3781	-1.326675	-11.948	-9.293488	-2.859256	0.3126362	-1.117838	-9.065204
212.7206	2.361681	-6.721516	-10.34188	-5.885635	-1.420699	-10.29093	-9.951771
213.0631	3.17177	-3.70908	-12.99583	-5.492791	-5.148724	-8.456208	-12.02743
213.4056	6.618047	2.655969	-7.122619	-0.07409789	-13.20986	-1.564881	-14.88108
213.7481	11.0636	-2.319154	0.5680101	-8.647949	-9.374149	-5.919392	-21.23584
214.0906	0.4923052	2.121334	3.802568	-14.01293	-1.997133	-12.60159	-11.20987
214.433	-10.39133	1.538391	-15.71144	-23.27854	7.55498	-21.54641	3.715476
214.7755	-16.81654	15.3508	-25.48441	-20.24577	4.911067	-16.81853	7.114512
215.118	-5.979754	6.146287	-12.70652	-16.76103	2.936203	-11.23158	-0.7261262
215.4604	2.966955	4.861636	7.108267	-7.133684	-4.071476	1.231657	-3.247558
215.8029	1.738398	-0.198048	1.140692	-13.95428	-4.49445	-4.859085	-8.765781
216.1453	0.4130741	4.865878	-4.008808	-7.263989	-0.6240393	-5.6358	-10.94226
216.4878	-1.359652	3.413016	-0.568488	-3.250826	3.517282	-10.23384	-11.38275
216.8302	2.888338	15.51614	0.8904928	5.281119	6.725559	-5.54301	7.050833
217.1726	1.75134	23.82007	-8.638201	-4.276692	-5.97781	-4.197078	0.9970834
217.515	5.687535	15.29198	-0.9084839	-10.64908	0.507619	-4.955193	-4.490031
217.8574	-1.826783	1.423346	0.0464834	-8.946897	0.6908275	-10.60221	-15.95051
218.1998	-1.436061	1.206097	1.67204	5.264115	9.891613	-8.574615	-11.67227
218.5422	3.617833	5.533129	-2.364393	1.100965	-3.131554	-3.183488	-20.73206
218.8846	14.45439	9.317373	-0.9796402	-14.07378	-3.966667	3.401929	-10.24143
219.227	16.19585	4.245658	-14.01527	-16.77736	-1.223155	10.1424	5.082086
219.5694	12.19785	1.081321	-6.571672	-7.36005	-3.332781	6.781559	10.97558
219.9117	6.401367	-4.832144	7.889358	1.158643	-0.484432	-9.43166	-4.264049
220.2541	1.276075	-2.239076	9.1422	4.126498	6.632385	-24.40129	-17.96444
220.5964	-2.341252	-0.5019801	-11.56567	-0.1975048	8.706131	-25.10139	-27.06331
220.9387	-9.312338	13.46743	-19.26802	-7.261477	-5.25165	-22.99096	-19.58155
221.2811	-18.17971	14.67404	-3.045617	-4.211124	-7.605412	-11.64779	-5.886949
221.6234	-16.82113	17.72623	3.671928	-3.500708	1.571303	-11.93709	0.6230839
221.9657	-6.943165	6.481221	-5.041222	-3.05742	-2.943185	-10.98554	-4.577466
222.308	4.600357	4.670544	-19.21976	-15.54335	0.33816	-13.38567	0.8992375
222.6503	-5.322389	2.863182	-10.02109	-19.68102	-7.566607	-11.4971	7.205839
222.9926	-9.625713	14.30257	2.634171	-13.37933	-2.074427	-9.74577	-2.360234
223.3349	-15.35758	23.71832	-0.8696223	-8.616037	-10.12493	-19.725	-8.208019
223.6772	-10.80034	26.31424	-2.0059	-8.42742	-6.062131	-18.64102	-7.602433
224.0194	-6.232435	16.30167	-9.801909	-13.80183	-9.929998	-14.09618	0.3027031
224.3617	8.654675	6.285461	-11.89025	-6.567502	-1.415398	2.898349	-11.75875
224.7039	11.92391	-1.331808	-13.18765	-3.372411	-2.718651	3.504575	-10.97426
225.0462	5.114516	10.99403	-1.67362	1.150553	-1.745569	1.591373	-9.298164
225.3884	-2.593595	7.173227	-13.16237	-16.65507	-2.139924	-8.30246	3.347681
225.7307	-5.141639	3.295918	-24.97804	-13.45171	-2.695817	-6.77226	8.095564
226.0729	-4.011073	-6.325384	-22.06358	-15.666	-16.49354	-5.479465	8.843681
226.4151	0.2784503	2.093508	-14.17453	2.454396	-6.952187	2.139853	-1.163532
226.7573	-3.646698	7.804193	-6.754769	-1.803765	-11.09545	-12.84934	-10.28747
227.0995	1.723124	6.146089	-0.3717613	9.84622	-2.361105	-4.249857	0.4397965
227.4417	2.479111	-3.125727	8.783629	-1.50279	-15.09889	-7.941734	2.420576
227.7839	7.146177	-7.904118	1.50525	-3.568902	-0.14364	-9.186337	3.535462
228.1261	-0.2608835	4.673282	-5.126988	-22.13808	-6.373661	-30.08886	-12.68057
228.4682	-11.35619	17.3583	-1.737007	-23.75175	2.495397	-29.77682	-15.92598
228.8104	-23.35308	22.08204	0.8450069	-20.82203	-5.500744	-24.8405	-20.07558
229.1525	-9.898006	12.48859	-3.338986	-12.63319	5.846353	-12.94856	-11.26664
229.4947	1.91749	6.065836	-3.544083	-12.96072	2.303063	-11.62082	-17.08715
229.8368	3.058617	-0.358525	3.64518	-2.748073	1.468694	-4.154609	-9.236955
230.179	-4.874161	5.854214	-4.306325	-3.909302	-0.02888052	-6.471947	-4.210387
230.5211	-6.999664	2.390755	-15.76882	-3.062441	1.008728	-3.870654	1.024954
230.8632	-8.491212	1.29037	-15.15508	-2.34413	0.2897918	-11.24158	-7.558187
231.2053	2.486229	-4.129628	-15.82089	2.763609	-0.268347	-13.06881	1.117581
231.5474	17.79176	3.735774	5.759583	8.669448	16.25572	-15.25149	8.776314
231.8895	9.432971	14.11868	12.99944	-6.06181	8.997236	-21.19847	1.233884
232.2316	1.002093	12.64017	6.479315	-7.810221	3.130083	-21.71811	-2.833901
232.5737	7.943886	7.17561	-14.48622	-9.784221	2.585037	-24.48726	7.038584
232.9157	6.639375	5.202565	-10.12934	-6.462591	4.726364	-24.58166	8.946203
233.2578	-0.3564416	5.170491	-1.6767	-8.532355	-5.930972	-20.01716	-4.813891
233.5999	-0.5059216	2.298649	3.165125	1.553196	-11.57513	-4.406901	-16.49493
233.9419	12.34868	0.5631132	-2.156838	5.030087	-5.766196	10.16581	-6.642769
234.2839	4.05061	3.78796	-8.044121	-6.352937	5.140366	-0.2375574	-0.966993
234.626	-5.403022	0.676233	2.748938	-1.52778	5.16415	2.723154	0.876253
234.968	-8.374261	-1.318781	0.1764727	-2.622821	-1.880757	-1.882956	-4.795575
235.31	4.829119	6.128823	-8.414876	-1.986564	-13.79346	1.161912	0.03564857
235.652	-0.2456741	12.83942	-15.25729	-25.43606	-13.31317	-21.54326	-0.3992926
235.994	-3.595021	7.536322	-10.64849	-16.74599	-3.073915	-16.08549	-0.4482642
236.336	-11.87446	-6.398262	-15.67672	-7.635952	0.6596051	-15.22026	-10.18926
236.678	5.610483	6.405464	-11.72511	12.39705	3.384522	-3.932288	-5.084558
237.02	0.6998799	13.7024	-14.8595	-15.74075	5.118782	-6.745192	-3.555527
237.3619	-1.804093	11.47034	-11.4392	-10.48637	7.206419	3.853375	-1.128863
237.7039	-14.74129	2.342849	-15.71739	-17.06944	-3.514592	0.2581224	1.009129
238.0459	-3.58047	5.424092	-7.672611	-12.9917	-7.774589	-0.01965048	-0.3831732
238.3878	5.637103	12.25197	-9.244737	-26.29108	-0.1505753	-3.406111	-1.040383
238.7297	3.287423	8.253177	-0.2584379	-9.851228	-0.9650673	0.2997231	0.433672
239.0717	-9.515795	-6.044697	-1.914274	-2.254518	-15.19952	-11.19856	5.299128
239.4136	1.225982	-0.1238143	-4.365672	-2.557095	-8.493904	-8.407184	-0.7163802
239.7555	16.50144	6.598977	-12.80217	-5.593991	10.08455	-5.580184	-4.646262
240.0974	27.53654	0.8217841	-4.414743	-2.194553	15.14622	-6.69137	2.50776
240.4393	13.72645	-9.909771	10.74459	-0.7689413	-12.99174	-14.01003	-1.323449
240.7812	3.040105	2.045293	13.92714	-5.796196	-26.17825	-19.22648	-1.454312
241.1231	-1.475348	6.597385	-4.562589	-8.837708	-18.58944	-18.63128	-7.571084
241.465	12.62971	9.904987	-7.903429	-12.08802	-4.234603	-22.24901	-2.821283
241.8068	1.541432	21.39962	-8.288988	-34.1045	-0.9022866	-31.23338	-12.25976
242.1487	-8.051247	27.30545	-0.9864538	-34.65589	5.944598	-36.13202	-13.85908
242.4905	-11.07733	9.444363	-13.02224	-25.63544	17.14316	-26.90614	-17.38357
242.8324	3.538949	7.675437	-3.663373	-11.84857	17.22621	-3.725392	-2.800384
243.1742	1.806229	13.4226	-3.17808	-12.94431	-0.7790259	-9.025251	2.071046
243.5161	-1.433289	16.1164	0.1617419	-5.034599	-16.03869	-20.85288	14.22185
243.8579	-21.08274	17.24287	-14.28586	-31.40311	-8.836561	-38.68889	7.841969
244.1997	-12.96602	25.93	-16.33787	-37.62448	0.9532266	-29.47622	-4.038524
244.5415	-4.139976	15.55439	-20.54808	-16.39513	-2.314637	-20.71147	-5.819237
244.8833	14.56666	-4.615042	-9.635906	15.07195	-3.534451	-14.80665	2.901515
245.2251	10.16606	-3.453832	-2.095867	-3.312092	3.025847	-18.27308	4.002592
245.5669	3.955566	6.621144	9.962888	-11.37159	6.874352	-19.81562	3.024037
245.9086	-6.000416	4.042998	9.575246	-9.290985	-7.59357	-16.27089	2.069357
246.2504	-4.895174	-3.768207	10.41093	-3.164451	-9.146505	-8.029681	-8.985154
246.5922	-8.292413	-0.8273246	-9.455143	-7.494384	-4.61379	-2.162319	-8.808937
246.9339	-17.04044	12.96896	-16.53883	-5.207451	5.046626	1.023894	-3.043839
247.2757	-14.15027	11.59205	-16.1757	-6.209082	4.992239	-7.357432	-6.270767
247.6174	-5.005281	-0.6945495	3.096752	-23.13143	7.421429	-5.034094	-6.945736
247.9591	1.799014	-5.44163	-4.743321	-18.20829	6.86386	-12.56882	-4.249497
248.3008	-2.750287	-4.028407	-8.026102	-15.15746	2.755386	-6.906104	1.768549
248.6425	-11.89853	-0.7331558	-15.73685	-6.59778	4.415802	4.159178	-10.2431
248.9843	-5.252835	5.416352	-9.173591	-8.090921	2.379394	8.681498	-11.29629
249.3259	0.155691	12.82131	-5.19874	0.05481224	-1.181711	-6.68878	-17.25799
249.6676	4.983735	9.299584	5.477139	9.582814	-5.430148	-12.56551	-3.574728
250.0093	3.502512	0.4712204	1.240733	8.360461	-2.448194	-14.48798	-6.664443
250.351	4.324196	0.163515	-10.20279	-3.685323	7.125288	-11.32461	4.667465
250.6926	-1.952585	3.854598	-14.55314	-14.82345	6.693471	-14.31721	9.689828
251.0343	0.5081592	0.706064	-0.4235933	-9.139837	8.54524	-2.242728	4.219426
251.3759	-0.01769838	2.17913	3.250469	-6.71873	8.969991	-0.04614832	-21.24513
251.7176	3.032017	9.107699	9.428758	-16.1268	11.869	9.197508	-20.89129
252.0592	-0.9640381	6.721362	6.55548	-20.49809	5.058581	2.099653	-11.57241
252.4008	-5.338574	1.353658	3.597092	-19.48798	-10.489	-8.935659	0.5676473
252.7425	-8.346536	3.014645	-10.80259	-19.39675	-17.17675	-17.91069	3.349499
253.0841	-1.315925	8.543104	-9.800377	-18.8773	-17.63029	-9.374576	3.111504
253.4257	-8.51122	16.77952	-5.072713	-32.20176	-1.947271	-18.63756	-1.86493
253.7673	-7.620573	21.99383	4.434141	-18.31303	-0.08682727	-23.43414	0.3073801
254.1088	-5.12095	20.31146	-7.835872	-13.08419	-6.745466	-31.39763	4.104953
254.4504	8.524552	12.66697	-13.03409	7.12461	-10.23137	-13.30259	7.697761
254.792	2.174874	3.19274	-6.687293	-0.9978189	-1.493147	-12.4457	4.929481
255.1335	-1.680846	0.4424816	6.162957	0.01824222	12.14793	-9.411715	-2.735321
255.4751	-10.417	11.18416	7.044572	-14.02977	6.520205	-10.11817	-14.47985
255.8167	-3.369745	21.17901	2.512421	-4.612629	-3.504339	-3.954212	-4.813157
256.1582	6.387789	7.708198	3.712308	-0.08666053	-6.524149	-2.287272	3.464061
256.4997	9.72606	-3.559131	3.109348	6.568217	2.307637	1.574426	8.382561
256.8412	15.65386	-2.499196	5.532535	-6.603289	7.043104	0.9695786	1.928824
257.1827	10.78258	8.399213	-1.024925	-5.075469	-6.123449	1.949733	1.335287
257.5243	1.563633	6.881096	-13.96903	-6.244955	-12.66581	-6.611028	-3.189993
