Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11	Intensity12	Intensity13	Intensity14
189.7555	-11.08985	-4.189063	-19.44033	13.34585	13.13342	3.360664	-12.39832	-7.552892	10.89641	1.553118	-9.208253	3.672602	34.84858	11.48981
190.0985	-6.801414	-10.41529	-19.49191	10.31227	9.333733	11.95014	-6.188971	-13.07117	0.2187092	9.382356	-9.270638	14.84712	24.80947	9.442164
190.4415	-5.077382	-12.92646	-16.32403	-1.653348	-2.766114	21.18357	-12.93048	-11.6514	-9.300759	5.990801	-14.58763	17.27809	12.6777	-0.2015413
190.7845	-6.703485	-7.675401	-10.35224	2.467643	1.723752	20.84924	-13.78707	-6.358554	2.268328	4.737523	-9.557914	13.83854	11.19622	2.617441
191.1275	-18.15031	-12.34865	-16.92325	8.16694	9.931492	20.35893	-14.64518	3.32543	13.78663	-11.50241	-19.35639	17.01626	20.1554	14.39472
191.4705	-8.378692	-6.836734	-15.02927	2.843753	8.101992	17.19735	-11.39111	-2.435323	1.451571	-4.104755	-8.073862	2.256693	5.840794	3.584339
191.8134	-9.775515	-8.704184	-21.83674	-5.857754	1.424631	16.98422	-7.973752	11.00862	-5.033493	-15.86872	-20.59933	0.6530741	12.51878	-4.678363
192.1564	-9.838129	-1.96644	-10.33005	-3.663508	3.647935	17.09354	5.650542	15.18074	4.523341	-12.81042	-17.11509	4.310494	21.57599	-6.131583
192.4993	-11.87641	-10.36903	-9.599533	3.030859	3.075801	27.38243	11.8759	11.0521	7.516655	-3.952694	-31.16565	1.835548	18.50588	-1.94059
192.8423	2.259375	0.05968586	0.8346033	-3.13006	-3.976191	27.44529	6.249698	0.2256514	-2.921238	19.28969	-14.3293	-7.596309	8.296435	2.00781
193.1852	4.117842	-9.937333	6.647868	-2.150003	-0.3588901	14.32441	-0.742474	1.149073	-9.282852	8.466104	-8.797849	-4.249136	12.48893	3.433581
193.5282	-1.3685	-11.00087	10.19894	-3.38112	3.276968	2.845457	-2.503012	-6.266226	5.09264	-0.319376	6.692068	19.94954	24.17185	-3.145901
193.8711	-8.83765	-19.15234	1.324829	-7.773107	-3.775314	-3.342847	-12.29031	-1.44699	4.622639	-5.098188	8.761065	16.05367	21.82616	5.007584
194.214	-5.718337	-5.537427	-10.90157	-6.658758	-5.666781	22.1913	-14.95455	5.01924	3.851547	1.694547	2.240419	18.83391	21.3567	22.30004
194.5569	-8.262008	-5.649166	-14.35717	-6.871722	-2.08116	30.24043	-11.33715	7.390605	-3.872422	-7.349617	-19.20364	18.8134	19.32591	20.34388
194.8998	-5.249229	1.433495	-4.508713	-6.82134	8.818134	24.31892	-1.178839	3.693892	4.89904	0.1745909	-27.72577	14.26428	21.56145	6.64077
195.2427	-10.94565	-2.562995	-3.944902	-6.418609	9.000485	10.57827	-8.226427	8.113592	4.09943	-5.760867	-20.87047	0.2237607	24.55599	1.663944
195.5856	0.1328689	-1.706628	-15.65635	7.63829	8.813353	20.64434	-1.289672	5.81166	16.52689	-2.974573	-20.96373	-4.321836	22.94868	13.49704
195.9285	5.744782	-3.991078	-13.24459	7.462942	-1.95619	15.05877	0.9470509	-1.012328	0.7761632	-7.374209	-18.77582	-1.205691	6.162429	10.40115
196.2713	11.12753	-6.850978	-2.021051	2.269646	3.697206	6.179802	-1.184136	5.180537	-6.486633	4.910866	-5.84016	5.722908	11.80993	6.667312
196.6142	3.906006	-6.381134	1.543902	-6.98347	8.094959	11.04516	-17.67253	5.754732	-10.20156	1.624512	-9.296078	10.76216	9.287888	3.526947
196.9571	-4.2368	0.1059941	-3.11717	1.546746	20.02708	12.3623	-11.84674	8.068568	-0.9032705	4.249234	-12.06469	17.323	15.70402	9.393103
197.2999	-6.414373	-1.234236	0.1792945	-0.01638616	7.510532	-1.276389	-5.004596	3.955976	-2.254771	1.013456	-4.225725	10.37799	2.778893	5.312218
197.6428	-13.00358	-8.903775	-0.1301402	5.512407	2.233792	-15.9666	9.241391	10.8695	-1.058706	-5.111379	-3.016064	7.483605	20.59164	4.418825
197.9856	-8.848162	-10.2114	-4.058772	1.626273	-14.54299	-8.459622	8.595351	13.6152	-3.686813	-12.34901	-11.91042	-1.501798	4.562928	4.324489
198.3284	-13.42263	-9.698981	-4.893423	-3.853433	-14.06619	11.05347	1.245518	6.209002	-5.056099	-11.02822	-3.405295	6.32708	-5.084134	11.06502
198.6712	-13.76835	-14.71058	-12.92866	-14.48846	-10.52054	14.21528	-13.38852	-6.153026	-5.110971	2.13661	3.786407	0.5475546	-7.707658	8.124475
