SPECTRUM DATA FILE
SpectrumCount:	11
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	pow1_24	pow1_1	pow1_0	pow0_9	pow0_8	pow0_7	pow0_6	pow0_5	pow0_4	pow0_3	pow1_2
Date:	2022-02-16T15:59:59.9267058+00:00	2022-02-16T16:02:25.4351774+00:00	2022-02-16T16:03:57.0377985+00:00	2022-02-16T16:06:19.8417797+00:00	2022-02-16T16:08:22.2451256+00:00	2022-02-16T16:10:29.3486375+00:00	2022-02-16T16:12:12.4520741+00:00	2022-02-16T16:14:06.5548465+00:00	2022-02-16T16:16:13.2576706+00:00	2022-02-16T16:17:47.4606495+00:00	2022-02-16T16:19:54.1635794+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	10	10	10	10	10	10	10	10	10	10	10
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.0872149	0.1110666	0.1229433	0.09682628	0.06592862	0.07021003	0.07415643	0.06700621	0.08959481	0.09693237	0.08867021
Temperature:	23.82187	24.12839	24.23068	24.43546	24.43546	24.6405	24.53796	24.53796	24.53796	24.6405	24.6405
DiagramColor:	200	16711680	49152	16711935	42495	12632064	3368611	53970	65280	255	12898745
ProcessingSteps:	783	783	783	783	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11
197.6428	10.5215	-11.7608	8.28034	-1.951389	-10.60596	-0.4626057	-8.536789	-3.130466	9.666021	-2.158474	1.247249
197.9856	2.814238	-3.339085	3.777704	1.445291	0.9047289	-8.652864	-2.965545	-5.089765	2.731553	-3.440423	4.962571
198.3284	-0.6230332	3.904773	5.908192	5.804569	8.093666	-2.298021	-5.907633	5.947139	3.890363	0.4978902	3.205807
198.6712	-8.92627	21.75792	5.967027	-2.092025	-2.12571	10.33945	2.290644	1.387615	-0.2061203	-3.018503	-6.996623
199.0141	1.170554	19.26563	0.6713896	-2.001157	1.674946	5.114125	1.909272	-0.5772938	-0.9377096	-3.367056	2.266456
199.3569	0.9161579	7.082551	-9.768052	-2.773185	2.876483	5.132308	-3.604016	-11.48791	-3.641708	-1.264346	8.221469
199.6997	-3.449841	3.465841	-11.4904	2.241828	4.154194	6.732025	-2.221423	0.6819991	-9.333932	11.3735	15.67737
200.0424	-5.128749	6.009894	-0.4561385	10.92819	3.348403	2.235459	9.625137	10.54074	-5.320843	11.27274	2.995566
200.3852	-0.3104011	8.010625	4.914288	10.57173	5.445509	6.146198	11.10583	3.341082	-6.316939	3.458259	11.0197
200.728	-11.66244	2.774159	8.513596	3.968732	6.346518	5.007132	1.657024	-6.757574	-5.632441	-6.376627	11.57006
201.0708	-13.92195	9.750093	5.756907	5.426633	-1.403506	5.201136	-4.245221	-16.70198	2.730673	-2.125825	13.04147
201.4135	-7.611041	9.106214	0.1430633	3.415812	-2.375879	-4.688217	-8.442345	-6.618294	10.72873	4.882764	8.521946
201.7563	5.93909	2.159821	14.11014	-4.814733	10.71276	-7.215708	7.179143	17.36151	-1.441643	16.21078	8.454339
202.0991	-5.312803	3.173804	13.59396	-5.141359	13.2705	-12.644	14.95535	26.02611	-6.139621	15.61461	2.011735
202.4418	-11.32384	3.778645	21.30698	13.01798	8.307664	6.208338	9.98905	5.478664	2.890871	10.00548	6.083041
202.7845	-10.93166	-1.854094	8.077959	11.06874	-1.130325	23.80557	-8.64768	-14.9608	7.936224	5.211648	13.9019
203.1273	-0.7524229	-3.202583	4.601653	5.283416	3.111276	20.19831	-10.34632	-6.566589	2.35925	-0.9910792	16.17397
203.47	10.94857	2.685666	-5.868301	-1.908784	-6.125192	6.1503	-8.818732	-1.849163	0.6930323	-7.733651	-1.373342
203.8127	11.98881	3.961602	4.633187	3.771855	-2.863178	0.9088219	6.686397	3.461545	-4.090121	-8.513851	-8.618179
204.1554	6.881274	-5.609654	21.23031	3.493252	-5.499557	6.495215	8.76836	5.137741	-12.18608	1.321942	-3.587356
204.4981	4.504846	-2.684659	14.11408	-0.635049	-10.04616	3.549307	11.94557	6.4307	-9.496736	1.375294	9.337208
204.8408	7.927356	4.167368	13.63247	-12.24848	-17.73717	9.579661	6.131255	8.845125	-7.547009	4.895348	10.40581
205.1835	-1.251552	4.038604	8.487324	-8.833621	-6.025294	11.72955	6.030769	10.56374	5.589796	-4.1643	13.99443
205.5261	-13.36947	0.612249	12.05058	1.520197	-4.929685	7.666894	-0.8366911	7.678205	-1.416793	-11.33472	17.27872
205.8688	-6.929997	-1.315525	1.497926	14.67033	-2.50965	1.37225	0.8645031	-0.2148255	0.08398194	-16.84224	9.996928
206.2115	3.473712	0.8720508	8.248562	8.003686	0.7014946	9.125522	-2.313905	-8.859235	-6.657666	-3.749474	-3.814654
206.5541	12.13228	-8.046903	12.08495	5.231829	5.141594	12.9737	0.4038919	-14.83368	0.2999508	14.46876	-6.62865
206.8967	-0.7588142	-8.559053	10.83779	2.105436	-4.758254	7.706263	-4.894095	-11.74096	2.519171	19.64541	-15.2317
207.2394	-13.38674	5.812056	3.444285	5.779714	-2.843328	-1.681503	-10.05478	-7.512803	14.63836	12.21894	-20.20888
207.582	-13.31498	13.54905	4.941924	-9.586555	-2.252649	0.4995792	-11.28885	-6.759607	12.2772	-3.181512	-11.59681
207.9246	1.916687	0.845248	9.839415	-12.65196	9.680082	-3.020736	0.6463038	-6.040308	10.50045	2.126973	7.557103
208.2673	6.671422	-9.882596	3.468068	-10.81906	9.155224	6.880252	9.426394	-0.4539836	-5.298087	14.19896	10.01685
208.6099	11.71312	-4.446553	-6.641162	-0.6679309	0.1817489	4.548338	17.62164	2.408456	-6.477079	18.12741	9.090996
208.9525	5.446531	8.141233	-10.84326	-0.2735701	-11.687	2.433098	8.686304	-3.075219	-5.293453	9.851304	-0.3001681
209.2951	-5.176937	7.494423	11.42302	10.00521	0.3151827	3.301364	-4.591195	-8.163995	10.04228	7.545991	-0.1109535
209.6376	-13.09475	3.35645	19.09686	12.42145	-0.06146304	14.4193	-5.480961	-5.227911	-1.771765	13.72242	-2.948606
209.9802	-11.74891	2.189163	10.94711	3.754836	-5.543668	15.77769	3.825728	0.1896802	-4.648258	0.8287985	-0.3302948
210.3228	-2.058197	-2.708378	-6.677802	-5.025483	-6.835948	1.635456	5.028869	-1.273856	-8.146101	-1.651452	-6.557508
210.6653	-2.175713	-1.512661	-7.091286	1.567915	-1.183449	-8.256159	4.366588	-7.416482	0.6406653	-2.202855	-7.359408
211.0079	4.626422	-4.301022	4.955173	9.579104	-4.511581	-3.443524	12.20045	-13.43703	0.1749607	11.86933	-6.127477
211.3504	-1.825132	6.100997	20.80036	6.080112	-2.839674	13.18345	26.73288	-4.524932	-1.192082	14.24187	6.997823
211.693	-0.4196145	-0.03772794	19.21529	1.085983	-1.159728	17.09405	23.82527	1.563259	-13.12883	20.4376	22.79515
212.0355	-9.170971	1.109285	12.17982	2.454191	1.982278	13.24943	12.29943	-4.026964	-13.67942	6.674533	17.93347
212.3781	-6.990528	2.966659	-2.514884	1.444005	1.264918	-2.795928	3.377622	-12.14554	-5.796268	-6.079323	-0.7630275
212.7206	-4.193354	2.469654	10.26944	0.9461931	-5.442947	0.4030027	6.908317	-6.605657	4.505947	-9.092832	-5.494262
213.0631	0.7392169	0.04450782	7.613759	2.012182	-7.140442	-7.784256	3.563357	-2.602368	5.575908	0.4827425	0.906485
213.4056	11.97026	5.246221	14.31472	5.304096	-4.201751	-4.302611	4.112062	-6.492898	0.8747501	7.582696	7.879889
