"Pressure, bar","Pulse energy, mJ","Simulated Angular Frequency Width, /s","Theoretical Angular Frequency Width, /s"
9.842105263157894,0.6000000000000001,2031854992047335.5,4389976160957526.0
10.578947368421051,0.6000000000000001,2066660000949657.5,4716583264216257.0
11.31578947368421,0.6000000000000001,2097880093204172.0,5042905496461068.0
12.052631578947368,0.6000000000000001,2125432346170461.8,5368943111442123.0
12.789473684210526,0.6000000000000001,2148894293192874.0,5694696363277098.0
13.526315789473683,0.6000000000000001,2169524348219754.2,6020165506411584.0
14.26315789473684,0.6000000000000001,2187430385144668.8,6345350795580746.0
15.0,0.6000000000000001,2203024993356869.8,6670252485772188.0
1.0,0.7000000000000001,553462554452604.94,523109193351014.5
1.736842105263158,0.7000000000000001,840880431479401.0,908161873417806.4
2.473684210526316,0.7000000000000001,1089877538050393.4,1292878703844847.8
3.2105263157894735,0.7000000000000001,1311678116311208.8,1677259971354030.2
3.9473684210526314,0.7000000000000001,1523235146715838.2,2061305963775061.5
4.684210526315789,0.7000000000000001,1726511715865899.8,2445016969979393.0
5.421052631578947,0.7000000000000001,1898431756162894.5,2828393279815970.5
6.157894736842105,0.7000000000000001,2032337288780382.8,3211435184048800.5
6.894736842105263,0.7000000000000001,2135627001638226.8,3594142974296266.5
7.63157894736842,0.7000000000000001,2212530182414091.0,3976516942972201.5
8.368421052631579,0.7000000000000001,2218390587926015.2,4358557383228644.0
9.105263157894736,0.7000000000000001,2237688167324546.2,4740264588900263.0
9.842105263157894,0.7000000000000001,2270723045407477.0,5121638854450448.0
10.578947368421051,0.7000000000000001,2302420564633006.5,5502680474918968.0
11.31578947368421,0.7000000000000001,2330451899686943.0,5883389745871248.0
12.052631578947368,0.7000000000000001,2354505700984344.5,6263766963349145.0
12.789473684210526,0.7000000000000001,2375254938203490.5,6643812423823282.0
13.526315789473683,0.7000000000000001,2393183815342523.5,7023526424146849.0
14.26315789473684,0.7000000000000001,2408347139543352.0,7402909261510871.0
15.0,0.7000000000000001,2421629508127954.0,7781961233400886.0
1.0,0.8,642174340268379.9,597839078115445.0
1.736842105263158,0.8,969040003959080.5,1037899283906064.2
2.473684210526316,0.8,1251860185026906.8,1477575661536968.8
3.2105263157894735,0.8,1511658737829443.5,1916868538690319.8
3.9473684210526314,0.8,1767053303748561.2,2355778244314355.5
4.684210526315789,0.8,1990465744935072.0,2794305108547877.5
5.421052631578947,0.8,2162224240109591.2,3232449462646823.0
6.157894736842105,0.8,2289815096807000.0,3670211638912913.5
6.894736842105263,0.8,2386833702136813.5,4107591970624304.5
7.63157894736842,0.8,2434178565486177.0,4544590791968230.0
8.368421052631579,0.8,2422107487996765.5,4981208437975592.0
9.105263157894736,0.8,2453110364966797.5,5417445244457442.0
9.842105263157894,0.8,2484847322669869.5,5853301547943367.0
10.578947368421051,0.8,2513609769454522.5,6288777685621677.0
11.31578947368421,0.8,2538334621486247.5,6723873995281423.0
12.052631578947368,0.8,2559567426240216.5,7158590815256163.0
12.789473684210526,0.8,2577550676882472.0,7592928484369463.0
13.526315789473683,0.8,2592769734735532.5,8026887341882111.0
14.26315789473684,0.8,2605879065080932.5,8460467727440994.0
15.0,0.8,2617049143443475.0,8893669981029582.0
1.0,0.9000000000000001,685356467624807.9,672568962879875.8
1.736842105263158,0.9000000000000001,1093787411238178.9,1167636694394322.2
2.473684210526316,0.9000000000000001,1414003393480759.0,1662272619229090.0
3.2105263157894735,0.9000000000000001,1713193310865760.2,2156477106026610.0
3.9473684210526314,0.9000000000000001,2002679411699975.2,2650250524853650.0
4.684210526315789,0.9000000000000001,2230742035371391.5,3143593247116362.5
5.421052631578947,0.9000000000000001,2397183389735860.5,3636505645477676.0
6.157894736842105,0.9000000000000001,2519221645178940.5,4128988093777028.5
6.894736842105263,0.9000000000000001,2605992582272447.0,4621040966952343.0
7.63157894736842,0.9000000000000001,2602028909090601.0,5112664640964259.0
8.368421052631579,0.9000000000000001,2613915261480863.0,5603859492722541.0
9.105263157894736,0.9000000000000001,2644612339345153.0,6094625900014624.0
9.842105263157894,0.9000000000000001,2674447270152482.5,6584964241436289.0
10.578947368421051,0.9000000000000001,2700538143343491.0,7074874896324388.0
11.31578947368421,0.9000000000000001,2722693027772849.0,7564358244691603.0
12.052631578947368,0.9000000000000001,2741221861028272.0,8053414667163186.0
12.789473684210526,0.9000000000000001,2756894037681588.5,8542044544915647.0
13.526315789473683,0.9000000000000001,2769957932213712.0,9030248259617376.0
14.26315789473684,0.9000000000000001,2781010998957326.0,9518026193371118.0
15.0,0.9000000000000001,2790383692346269.0,1.0005378728658282e+16
1.0,1.0,805033234233991.4,747298847644306.2
1.736842105263158,1.0,1209045731193044.8,1297374104882580.2
2.473684210526316,1.0,1562247958741529.5,1846969576921211.0
3.2105263157894735,1.0,1907065322952097.2,2396085673362900.0
3.9473684210526314,1.0,2213342299908831.0,2944722805392944.0
4.684210526315789,1.0,2438263735085523.0,3492881385684847.5
5.421052631578947,1.0,2598594091376563.5,4040561828308529.5
