"GDD, fs^2","FoOD, fs^4","Simulated Angular Frequency Width, /s"
121.05263157894733,74526.31578947368,266936869202909.9
121.05263157894733,83894.73684210527,266881956141207.25
121.05263157894733,93263.15789473684,266825521910756.7
121.05263157894733,102631.5789473684,266767530285484.88
121.05263157894733,111999.99999999999,266708121353853.66
173.68421052631575,-66000.0,265728783351616.16
173.68421052631575,-56631.57894736841,265651416849554.22
173.68421052631575,-47263.15789473683,265573114534680.16
173.68421052631575,-37894.73684210526,265494143420281.62
173.68421052631575,-28526.315789473683,265415924976185.6
173.68421052631575,-19157.894736842107,265336030507880.97
173.68421052631575,-9789.473684210529,265257435323673.6
173.68421052631575,-421.0526315789487,265179905249104.34
173.68421052631575,8947.36842105263,265101829075352.94
173.68421052631575,18315.78947368421,265025239671264.03
173.68421052631575,27684.21052631578,264949851434821.84
173.68421052631575,37052.63157894737,264876422094168.5
173.68421052631575,46421.05263157894,264805147132013.66
173.68421052631575,55789.47368421053,264736113187041.84
173.68421052631575,65157.8947368421,264670296140943.84
173.68421052631575,74526.31578947368,264608124105482.16
173.68421052631575,83894.73684210527,264549912695462.25
173.68421052631575,93263.15789473684,264495891870498.78
173.68421052631575,102631.5789473684,264447730268642.72
173.68421052631575,111999.99999999999,264405581232983.1
226.3157894736842,-66000.0,264929169751436.72
226.3157894736842,-56631.57894736841,265089390236402.56
226.3157894736842,-47263.15789473683,263890198396001.47
226.3157894736842,-37894.73684210526,263822100389665.78
226.3157894736842,-28526.315789473683,263755955084984.94
226.3157894736842,-19157.894736842107,263691940320935.78
226.3157894736842,-9789.473684210529,263629840637327.44
226.3157894736842,-421.0526315789487,263568175450982.47
226.3157894736842,8947.36842105263,263506931631629.44
226.3157894736842,18315.78947368421,263446155552321.03
226.3157894736842,27684.21052631578,263385344832811.6
226.3157894736842,37052.63157894737,263323901702522.62
226.3157894736842,46421.05263157894,263261748278061.47
226.3157894736842,55789.47368421053,263197876505634.62
226.3157894736842,65157.8947368421,263132205989241.72
226.3157894736842,74526.31578947368,263064659661247.47
226.3157894736842,83894.73684210527,262995218554561.53
226.3157894736842,93263.15789473684,262923533609260.38
226.3157894736842,102631.5789473684,262848479000872.4
226.3157894736842,111999.99999999999,262770446567393.16
278.9473684210526,-66000.0,261392500221092.0
278.9473684210526,-56631.57894736841,261287267123065.88
278.9473684210526,-47263.15789473683,261183941124270.1
278.9473684210526,-37894.73684210526,261083313833642.75
278.9473684210526,-28526.315789473683,260987494805786.03
278.9473684210526,-19157.894736842107,260896893976309.2
278.9473684210526,-9789.473684210529,260811908810184.5
278.9473684210526,-421.0526315789487,260735526989514.66
278.9473684210526,8947.36842105263,260668546444627.7
278.9473684210526,18315.78947368421,260612241182672.72
278.9473684210526,27684.21052631578,260568895826441.97
278.9473684210526,37052.63157894737,260540399611968.47
278.9473684210526,46421.05263157894,260528257207512.44
278.9473684210526,55789.47368421053,260534639136655.8
278.9473684210526,65157.8947368421,260562161979098.2
278.9473684210526,74526.31578947368,260612534834282.94
278.9473684210526,83894.73684210527,260688869201030.94
278.9473684210526,93263.15789473684,260794070509711.84
278.9473684210526,102631.5789473684,260931152048474.9
278.9473684210526,111999.99999999999,261102517879449.0
331.578947368421,-66000.0,259258209245587.34
331.578947368421,-56631.57894736841,259167258499267.22
331.578947368421,-47263.15789473683,259070545703660.6
331.578947368421,-37894.73684210526,258970181283667.5
331.578947368421,-28526.315789473683,258864116503523.72
331.578947368421,-19157.894736842107,258754008248752.9
331.578947368421,-9789.473684210529,258639306178832.56
331.578947368421,-421.0526315789487,258520661471668.9
331.578947368421,8947.36842105263,258398462301155.4
331.578947368421,18315.78947368421,258274235161240.56
331.578947368421,27684.21052631578,258148514999420.72
331.578947368421,37052.63157894737,258022740564726.16
331.578947368421,46421.05263157894,257897974816496.5
331.578947368421,55789.47368421053,257776057157337.2
331.578947368421,65157.8947368421,257657533048462.53
331.578947368421,74526.31578947368,257545912812068.75
331.578947368421,83894.73684210527,257443029597335.8
331.578947368421,93263.15789473684,257350217605280.1
331.578947368421,102631.5789473684,257271234437979.97
331.578947368421,111999.99999999999,257207841622822.2
384.2105263157894,-66000.0,256498949654193.66
384.2105263157894,-56631.57894736841,256422772465459.3
384.2105263157894,-47263.15789473683,256345122435434.16
384.2105263157894,-37894.73684210526,256264957977865.94
384.2105263157894,-28526.315789473683,256181115201457.25
384.2105263157894,-19157.894736842107,256092362725687.88
384.2105263157894,-9789.473684210529,255997583471833.6
384.2105263157894,-421.0526315789487,255896736521284.4
384.2105263157894,8947.36842105263,255790608279825.94
384.2105263157894,18315.78947368421,255676854241008.06
384.2105263157894,27684.21052631578,255557294037560.38
384.2105263157894,37052.63157894737,255431573369023.9
384.2105263157894,46421.05263157894,255300732280649.38
384.2105263157894,55789.47368421053,255165935011421.03
384.2105263157894,65157.8947368421,255028430609408.5
384.2105263157894,74526.31578947368,254889915032812.72
384.2105263157894,83894.73684210527,254752156613502.0
