"GDD, fs^2","TOD, fs^3","Simulated Angular Frequency Width, /s"
68.42105263157896,-100.0,269471917882030.4
68.42105263157896,-89.47368421052632,269472123248017.88
68.42105263157896,-78.94736842105263,269471606334130.53
68.42105263157896,-68.42105263157895,269471344886127.78
68.42105263157896,-57.89473684210527,269470444675180.03
68.42105263157896,-47.36842105263158,269469745244151.25
68.42105263157896,-36.842105263157904,269468953912648.22
68.42105263157896,-26.315789473684216,269468303640627.4
68.42105263157896,-15.78947368421053,269467168804443.16
68.42105263157896,-5.263157894736843,269466446214923.5
68.42105263157896,5.263157894736843,269466172862294.97
68.42105263157896,15.78947368421053,269465689267608.38
68.42105263157896,26.315789473684195,269465372063181.22
68.42105263157896,36.84210526315788,269465312392997.88
68.42105263157896,47.36842105263157,269464822599147.1
68.42105263157896,57.89473684210525,269464532279158.66
68.42105263157896,68.42105263157895,269464425146152.22
68.42105263157896,78.94736842105263,269464667447473.62
68.42105263157896,89.47368421052632,269464364978375.72
68.42105263157896,100.0,269464465764203.6
78.94736842105264,-100.0,268424318929246.88
78.94736842105264,-89.47368421052632,268423326877893.2
78.94736842105264,-78.94736842105263,268423136322387.34
78.94736842105264,-68.42105263157895,268422426612749.72
78.94736842105264,-57.89473684210527,268422232865496.6
78.94736842105264,-47.36842105263158,268421896110870.84
78.94736842105264,-36.842105263157904,268421242123547.84
78.94736842105264,-26.315789473684216,268420391206330.4
78.94736842105264,-15.78947368421053,268420162922998.5
78.94736842105264,-5.263157894736843,268419615587367.28
78.94736842105264,5.263157894736843,268419602730923.94
78.94736842105264,15.78947368421053,268418426543242.75
78.94736842105264,26.315789473684195,268418498764535.7
78.94736842105264,36.84210526315788,268418211113156.62
78.94736842105264,47.36842105263157,268417186249973.88
78.94736842105264,57.89473684210525,268416662376301.2
78.94736842105264,68.42105263157895,268416424993368.8
78.94736842105264,78.94736842105263,268416366136787.9
78.94736842105264,89.47368421052632,268415421577012.97
78.94736842105264,100.0,268415016052983.16
89.47368421052634,-100.0,268160774937692.62
89.47368421052634,-89.47368421052632,268160500634455.56
89.47368421052634,-78.94736842105263,268160041569957.0
89.47368421052634,-68.42105263157895,268159120642787.47
89.47368421052634,-57.89473684210527,268158808107494.3
89.47368421052634,-47.36842105263158,268158603627969.44
89.47368421052634,-36.842105263157904,268158544444425.5
89.47368421052634,-26.315789473684216,268157581756649.75
89.47368421052634,-15.78947368421053,268157062831422.56
89.47368421052634,-5.263157894736843,268156588560575.66
89.47368421052634,5.263157894736843,268156578737863.94
89.47368421052634,15.78947368421053,268155685295950.2
89.47368421052634,26.315789473684195,268154821114880.12
89.47368421052634,36.84210526315788,268155093403945.94
89.47368421052634,47.36842105263157,268155182816907.9
89.47368421052634,57.89473684210525,268154662256021.34
89.47368421052634,68.42105263157895,268153598596953.44
89.47368421052634,78.94736842105263,268152992388621.28
89.47368421052634,89.47368421052632,268152697820347.62
89.47368421052634,100.0,268151914553680.56
100.00000000000001,-100.0,267899309614766.4
100.00000000000001,-89.47368421052632,267898457894566.28
100.00000000000001,-78.94736842105263,267898386411932.72
100.00000000000001,-68.42105263157895,267897275354561.7
100.00000000000001,-57.89473684210527,267897132535361.84
100.00000000000001,-47.36842105263158,267896763622241.9
100.00000000000001,-36.842105263157904,267896749491459.62
100.00000000000001,-26.315789473684216,267895849597985.7
100.00000000000001,-15.78947368421053,267895764015821.66
100.00000000000001,-5.263157894736843,267895031726566.5
100.00000000000001,5.263157894736843,267894336194052.56
100.00000000000001,15.78947368421053,267893921154119.0
100.00000000000001,26.315789473684195,267893529343348.62
100.00000000000001,36.84210526315788,267893459100517.47
100.00000000000001,47.36842105263157,267892891836865.3
100.00000000000001,57.89473684210525,267892369583657.66
100.00000000000001,68.42105263157895,267891643795961.84
100.00000000000001,78.94736842105263,267891298372036.25
100.00000000000001,89.47368421052632,267890999728503.5
100.00000000000001,100.0,267890133564412.38
