"GDD, fs^2","TOD, fs^3","Simulated Angular Frequency Width, /s"
15.789473684210458,12842.105263157899,268388519699658.25
15.789473684210458,16526.315789473687,267787692456755.4
15.789473684210458,20210.526315789477,266903452226988.8
15.789473684210458,23894.73684210527,265648106193364.03
15.789473684210458,27578.947368421057,265369267831795.8
15.789473684210458,31263.15789473684,264105669811567.5
15.789473684210458,34947.36842105263,262513711318765.66
15.789473684210458,38631.57894736843,262374777111132.44
15.789473684210458,42315.78947368421,260174776141113.94
15.789473684210458,46000.0,258721090071679.72
68.42105263157889,-23999.999999999996,266581084919138.34
68.42105263157889,-20315.789473684206,267397169381491.03
68.42105263157889,-16631.578947368416,268121883154913.44
68.42105263157889,-12947.368421052626,268487614388508.47
68.42105263157889,-9263.157894736838,268667990063238.47
68.42105263157889,-5578.947368421048,270070593937886.88
68.42105263157889,-1894.7368421052588,269570401805567.97
68.42105263157889,1789.4736842105306,269456976903121.75
68.42105263157889,5473.68421052632,268294834337111.4
68.42105263157889,9157.89473684211,267899588666341.38
68.42105263157889,12842.105263157899,267411985596829.75
68.42105263157889,16526.315789473687,266716632730853.56
68.42105263157889,20210.526315789477,265659520489036.2
68.42105263157889,23894.73684210527,264678987494946.47
68.42105263157889,27578.947368421057,264154616489850.66
68.42105263157889,31263.15789473684,263051357435753.25
68.42105263157889,34947.36842105263,261411336270127.16
68.42105263157889,38631.57894736843,260663001851938.34
68.42105263157889,42315.78947368421,259004288314468.7
68.42105263157889,46000.0,257882760993942.34
121.05263157894733,-23999.999999999996,266752238927606.34
121.05263157894733,-20315.789473684206,265860255419711.22
121.05263157894733,-16631.578947368416,266425403825282.1
121.05263157894733,-12947.368421052626,267007526473840.1
121.05263157894733,-9263.157894736838,267329149275213.9
121.05263157894733,-5578.947368421048,267439677119200.4
121.05263157894733,-1894.7368421052588,267402843530718.53
121.05263157894733,1789.4736842105306,267242767870443.84
121.05263157894733,5473.68421052632,266957575509240.75
121.05263157894733,9157.89473684211,266512745868302.56
121.05263157894733,12842.105263157899,265841217912200.16
121.05263157894733,16526.315789473687,264936589046509.25
121.05263157894733,20210.526315789477,264258990876027.7
121.05263157894733,23894.73684210527,263778986976150.38
121.05263157894733,27578.947368421057,262835874896836.97
121.05263157894733,31263.15789473684,261319857859740.28
121.05263157894733,34947.36842105263,261601312704932.9
121.05263157894733,38631.57894736843,259342615974649.84
121.05263157894733,42315.78947368421,257728825589777.8
121.05263157894733,46000.0,256709119377778.3
173.68421052631575,-23999.999999999996,264168497019317.78
173.68421052631575,-20315.789473684206,264726109515658.38
173.68421052631575,-16631.578947368416,265562257867944.8
173.68421052631575,-12947.368421052626,265016603883371.56
173.68421052631575,-9263.157894736838,265111661860781.88
173.68421052631575,-5578.947368421048,265245853306451.3
173.68421052631575,-1894.7368421052588,265243540522527.4
173.68421052631575,1789.4736842105306,265070040734376.7
173.68421052631575,5473.68421052632,264731900606286.12
173.68421052631575,9157.89473684211,264300557925997.47
173.68421052631575,12842.105263157899,264050855901040.25
173.68421052631575,16526.315789473687,264849502728876.25
173.68421052631575,20210.526315789477,262985461572887.4
173.68421052631575,23894.73684210527,262006204095920.7
173.68421052631575,27578.947368421057,260676265353789.9
173.68421052631575,31263.15789473684,260143117384462.22
173.68421052631575,34947.36842105263,258992701907374.12
173.68421052631575,38631.57894736843,257377657745117.7
173.68421052631575,42315.78947368421,256579558435635.25
173.68421052631575,46000.0,254739279711456.28
226.3157894736842,-23999.999999999996,261904323581605.62
226.3157894736842,-20315.789473684206,262322399896914.78
226.3157894736842,-16631.578947368416,263041864068127.2
226.3157894736842,-12947.368421052626,263468812018128.22
226.3157894736842,-9263.157894736838,263651983099479.9
226.3157894736842,-5578.947368421048,263696224116780.84
226.3157894736842,-1894.7368421052588,263636872987216.34
226.3157894736842,1789.4736842105306,263473101602240.9
226.3157894736842,5473.68421052632,263207074806346.9
226.3157894736842,9157.89473684211,262831128766545.03
226.3157894736842,12842.105263157899,262282205228499.25
226.3157894736842,16526.315789473687,261449920112301.9
226.3157894736842,20210.526315789477,260466332684507.88
226.3157894736842,23894.73684210527,260548646711366.12
226.3157894736842,27578.947368421057,259279642555537.22
226.3157894736842,31263.15789473684,257980026247800.56
226.3157894736842,34947.36842105263,257132375066356.38
226.3157894736842,38631.57894736843,256034001892668.28
226.3157894736842,42315.78947368421,254301456361169.9
226.3157894736842,46000.0,253512522518008.03
278.9473684210526,-23999.999999999996,259878511084433.75
278.9473684210526,-20315.789473684206,260518273460282.34
278.9473684210526,-16631.578947368416,260862063235226.2
278.9473684210526,-12947.368421052626,261226590136826.12
278.9473684210526,-9263.157894736838,260910487491739.06
278.9473684210526,-5578.947368421048,260866759006944.88
278.9473684210526,-1894.7368421052588,260803177467108.88
278.9473684210526,1789.4736842105306,260640724178415.8
278.9473684210526,5473.68421052632,260410053960512.78
278.9473684210526,9157.89473684211,260284976509561.38
278.9473684210526,12842.105263157899,260782173207371.7
278.9473684210526,16526.315789473687,259419910965816.3
278.9473684210526,20210.526315789477,258724220289383.97
278.9473684210526,23894.73684210527,257601962324329.7
278.9473684210526,27578.947368421057,256812891538901.3
278.9473684210526,31263.15789473684,256119215734907.6
278.9473684210526,34947.36842105263,254836113102584.8
278.9473684210526,38631.57894736843,254088180530987.3
278.9473684210526,42315.78947368421,252791502384603.38
278.9473684210526,46000.0,251247726909272.66
331.578947368421,-23999.999999999996,257512416378234.3
331.578947368421,-20315.789473684206,258419646335466.75
331.578947368421,-16631.578947368416,257868503397148.66
331.578947368421,-12947.368421052626,258142726531767.2
331.578947368421,-9263.157894736838,258454060742437.62
331.578947368421,-5578.947368421048,258607772340607.3
331.578947368421,-1894.7368421052588,258588586516183.0
331.578947368421,1789.4736842105306,258406643359922.47
331.578947368421,5473.68421052632,258058317639807.4
331.578947368421,9157.89473684211,257546909110670.8
331.578947368421,12842.105263157899,256976102680795.03
331.578947368421,16526.315789473687,256841775193837.28
331.578947368421,20210.526315789477,256233531806876.94
331.578947368421,23894.73684210527,255510151392605.75
331.578947368421,27578.947368421057,254301371396055.22
331.578947368421,31263.15789473684,253881975997909.12
331.578947368421,34947.36842105263,252810792546534.06
331.578947368421,38631.57894736843,251303297991157.9
331.578947368421,42315.78947368421,250624797583727.53
331.578947368421,46000.0,249198717871174.44
384.2105263157894,-23999.999999999996,255939536584007.8
384.2105263157894,-20315.789473684206,254817061990430.44
384.2105263157894,-16631.578947368416,255149325466799.12
384.2105263157894,-12947.368421052626,255618288327730.72
384.2105263157894,-9263.157894736838,255905091029189.4
384.2105263157894,-5578.947368421048,256004805133700.97
384.2105263157894,-1894.7368421052588,255962042932272.1
384.2105263157894,1789.4736842105306,255797231082192.7
384.2105263157894,5473.68421052632,255499076114864.12
384.2105263157894,9157.89473684211,255033823595896.75
384.2105263157894,12842.105263157899,254383549489044.0
384.2105263157894,16526.315789473687,253746300622947.5
384.2105263157894,20210.526315789477,254055855085237.8
384.2105263157894,23894.73684210527,252911065666095.9
384.2105263157894,27578.947368421057,251972620236361.28
384.2105263157894,31263.15789473684,250846270387556.7
384.2105263157894,34947.36842105263,250351059629085.25
384.2105263157894,38631.57894736843,249154228768403.8
384.2105263157894,42315.78947368421,248904580432220.16
384.2105263157894,46000.0,247235495462895.06
436.84210526315786,-23999.999999999996,252582678590524.34
436.84210526315786,-20315.789473684206,251863986563432.1
436.84210526315786,-16631.578947368416,252273912114563.6
436.84210526315786,-12947.368421052626,252725487319105.78
436.84210526315786,-9263.157894736838,252983545812322.22
436.84210526315786,-5578.947368421048,253069257971841.66
436.84210526315786,-1894.7368421052588,253025970946748.28
436.84210526315786,1789.4736842105306,252873598428050.56
436.84210526315786,5473.68421052632,252599714542044.2
436.84210526315786,9157.89473684211,252167503974761.12
436.84210526315786,12842.105263157899,251552674972200.53
436.84210526315786,16526.315789473687,250927628608966.9
436.84210526315786,20210.526315789477,251166460147512.12
436.84210526315786,23894.73684210527,250184018141713.66
436.84210526315786,27578.947368421057,249337889320272.0
436.84210526315786,31263.15789473684,248250237337912.12
436.84210526315786,34947.36842105263,247830641049234.78
436.84210526315786,38631.57894736843,246761427922718.3
436.84210526315786,42315.78947368421,246413176862327.22
436.84210526315786,46000.0,245028760679321.44
489.47368421052624,-23999.999999999996,248875550682513.84
489.47368421052624,-20315.789473684206,249078317208615.5
489.47368421052624,-16631.578947368416,249140659978065.84
489.47368421052624,-12947.368421052626,249521141285734.78
489.47368421052624,-9263.157894736838,249802834393258.88
489.47368421052624,-5578.947368421048,249922003592068.06
489.47368421052624,-1894.7368421052588,249899649001441.94
489.47368421052624,1789.4736842105306,249748869894630.78
489.47368421052624,5473.68421052632,249461264875945.9
489.47368421052624,9157.89473684211,249024186221953.6
489.47368421052624,12842.105263157899,248496534984456.3
489.47368421052624,16526.315789473687,248271509657056.4
489.47368421052624,20210.526315789477,247950423305332.34
489.47368421052624,23894.73684210527,247423621018387.28
489.47368421052624,27578.947368421057,246473433352891.0
489.47368421052624,31263.15789473684,245942695718296.22
489.47368421052624,34947.36842105263,245330214366770.72
489.47368421052624,38631.57894736843,244167429127153.28
489.47368421052624,42315.78947368421,243657719960317.8
489.47368421052624,46000.0,242668035145773.56
542.1052631578947,-23999.999999999996,245870469541135.84
542.1052631578947,-20315.789473684206,246185836131231.7
542.1052631578947,-16631.578947368416,246524051029569.28
542.1052631578947,-12947.368421052626,246295770422652.6
542.1052631578947,-9263.157894736838,246399723970996.16
542.1052631578947,-5578.947368421048,246494568021332.25
542.1052631578947,-1894.7368421052588,246483916119503.94
542.1052631578947,1789.4736842105306,246353887798459.88
542.1052631578947,5473.68421052632,246130368965141.66
542.1052631578947,9157.89473684211,245927209795585.1
542.1052631578947,12842.105263157899,246109418694520.3
542.1052631578947,16526.315789473687,245570147835828.94
542.1052631578947,20210.526315789477,245174360155050.56
542.1052631578947,23894.73684210527,244445185856748.62
542.1052631578947,27578.947368421057,243674629255144.9
542.1052631578947,31263.15789473684,243422559146186.72
542.1052631578947,34947.36842105263,242717214812467.38
542.1052631578947,38631.57894736843,241853470401260.12
542.1052631578947,42315.78947368421,241435666280826.88
542.1052631578947,46000.0,240258470848362.22
594.7368421052631,-23999.999999999996,242487471630995.88
594.7368421052631,-20315.789473684206,243116756805970.7
594.7368421052631,-16631.578947368416,243439565701854.72
594.7368421052631,-12947.368421052626,243600272922531.72
594.7368421052631,-9263.157894736838,244983854004366.94
594.7368421052631,-5578.947368421048,244475255475959.34
594.7368421052631,-1894.7368421052588,244345707733524.0
594.7368421052631,1789.4736842105306,244492777769950.75
594.7368421052631,5473.68421052632,243542773925266.6
594.7368421052631,9157.89473684211,243350757282818.66
594.7368421052631,12842.105263157899,243120271083177.78
594.7368421052631,16526.315789473687,242709436306631.9
594.7368421052631,20210.526315789477,242030582692128.16
594.7368421052631,23894.73684210527,241715405378970.5
594.7368421052631,27578.947368421057,241430786490631.38
594.7368421052631,31263.15789473684,240874236485638.56
594.7368421052631,34947.36842105263,240003868563774.1
594.7368421052631,38631.57894736843,239802516890676.25
594.7368421052631,42315.78947368421,238920945770667.34
594.7368421052631,46000.0,238542755542770.12
647.3684210526316,-23999.999999999996,240695205862005.06
647.3684210526316,-20315.789473684206,239774559384828.25
647.3684210526316,-16631.578947368416,239986152859824.94
647.3684210526316,-12947.368421052626,240358274708657.1
647.3684210526316,-9263.157894736838,240624592782519.7
647.3684210526316,-5578.947368421048,240758457706360.47
647.3684210526316,-1894.7368421052588,240783254920108.22
647.3684210526316,1789.4736842105306,240708823608411.06
647.3684210526316,5473.68421052632,240524913476551.8
647.3684210526316,9157.89473684211,240219638297630.9
647.3684210526316,12842.105263157899,239871039323145.1
647.3684210526316,16526.315789473687,239894063327232.38
647.3684210526316,20210.526315789477,239669637116316.4
647.3684210526316,23894.73684210527,239391820117713.06
647.3684210526316,27578.947368421057,238707245849848.0
647.3684210526316,31263.15789473684,238480086802025.78
647.3684210526316,34947.36842105263,238124293479249.8
647.3684210526316,38631.57894736843,237321256686708.5
647.3684210526316,42315.78947368421,238432075535496.4
647.3684210526316,46000.0,236531121982608.8
700.0000000000001,-23999.999999999996,236658922061043.8
700.0000000000001,-20315.789473684206,237216170664819.9
700.0000000000001,-16631.578947368416,237496235176186.0
700.0000000000001,-12947.368421052626,237656872884941.3
700.0000000000001,-9263.157894736838,239062746959176.03
700.0000000000001,-5578.947368421048,238666650974457.3
700.0000000000001,-1894.7368421052588,238634249313937.62
700.0000000000001,1789.4736842105306,238909831757052.38
700.0000000000001,5473.68421052632,237870542745818.1
700.0000000000001,9157.89473684211,237795669534491.7
700.0000000000001,12842.105263157899,237687262241763.28
700.0000000000001,16526.315789473687,237399879971189.03
700.0000000000001,20210.526315789477,236876173321238.47
700.0000000000001,23894.73684210527,236813164988182.97
700.0000000000001,27578.947368421057,236629599293527.84
700.0000000000001,31263.15789473684,236272473691705.9
700.0000000000001,34947.36842105263,235618985531531.25
700.0000000000001,38631.57894736843,235609576600829.84
700.0000000000001,42315.78947368421,234985014648382.88
700.0000000000001,46000.0,236216977642810.97
