"Pressure, bar","Compressor Grating Position, m","Simulated Angular Frequency Width, /s"
0.7447368421052633,-2.6315789473684188e-05,217423410537577.66
0.7447368421052633,2.6315789473684188e-05,218898250732157.56
0.7447368421052633,7.894736842105267e-05,212900115263688.97
0.7447368421052633,0.00013157894736842105,199488564822950.0
0.7447368421052633,0.00018421052631578953,178084033964714.3
0.7447368421052633,0.0002368421052631579,155551612237626.56
0.7447368421052633,0.0002894736842105264,130116864388952.33
0.7447368421052633,0.00034210526315789477,106426836004779.1
0.7447368421052633,0.00039473684210526315,88999796921273.64
0.7447368421052633,0.00044736842105263163,77359866452106.97
0.7447368421052633,0.0005,71714640538617.12
0.928421052631579,-0.0005,118050927499523.36
0.928421052631579,-0.0004473684210526316,141827913231097.8
0.928421052631579,-0.00039473684210526315,165576500761994.44
0.928421052631579,-0.00034210526315789477,187742196252345.75
0.928421052631579,-0.0002894736842105263,204581225666204.38
0.928421052631579,-0.0002368421052631579,214770810208698.84
0.928421052631579,-0.00018421052631578948,219478858827600.5
0.928421052631579,-0.00013157894736842105,220594758917704.62
0.928421052631579,-7.894736842105262e-05,220364735055843.2
0.928421052631579,-2.6315789473684188e-05,219585184133616.12
0.928421052631579,2.6315789473684188e-05,219418180869106.38
0.928421052631579,7.894736842105267e-05,219749757183044.72
0.928421052631579,0.00013157894736842105,219736699854332.34
0.928421052631579,0.00018421052631578953,217733815993442.12
0.928421052631579,0.0002368421052631579,213555241959903.66
0.928421052631579,0.0002894736842105264,205526753606718.8
0.928421052631579,0.00034210526315789477,188460332178013.94
0.928421052631579,0.00039473684210526315,169160438239290.88
0.928421052631579,0.00044736842105263163,146903100374744.66
0.928421052631579,0.0005,125439974046516.64
1.112105263157895,-0.0005,106427877110155.95
1.112105263157895,-0.0004473684210526316,103818186195086.23
1.112105263157895,-0.00039473684210526315,99614989867032.55
1.112105263157895,-0.00034210526315789477,101738958146914.02
1.112105263157895,-0.0002894736842105263,118599344260937.23
1.112105263157895,-0.0002368421052631579,148744549980887.66
1.112105263157895,-0.00018421052631578948,183615933580282.34
1.112105263157895,-0.00013157894736842105,214774826519456.38
1.112105263157895,-7.894736842105262e-05,240162713861866.03
1.112105263157895,-2.6315789473684188e-05,251570398939212.84
1.112105263157895,2.6315789473684188e-05,254576226864740.3
1.112105263157895,7.894736842105267e-05,247385767890957.94
1.112105263157895,0.00013157894736842105,230796571255732.6
1.112105263157895,0.00018421052631578953,206658170093173.03
1.112105263157895,0.0002368421052631579,177795058214290.25
1.112105263157895,0.0002894736842105264,149772424807252.78
1.112105263157895,0.00034210526315789477,128740611184972.72
1.112105263157895,0.00039473684210526315,117332784176153.3
1.112105263157895,0.00044736842105263163,113067538334400.38
1.112105263157895,0.0005,112174602454086.89
1.2957894736842106,-0.0005,94988949727202.58
1.2957894736842106,-0.0004473684210526316,121475286978585.12
1.2957894736842106,-0.00039473684210526315,158511095858692.62
1.2957894736842106,-0.00034210526315789477,195284146780252.38
1.2957894736842106,-0.0002894736842105263,225511974610970.16
1.2957894736842106,-0.0002368421052631579,244148034836407.22
1.2957894736842106,-0.00018421052631578948,252402683480929.06
1.2957894736842106,-0.00013157894736842105,253881586069195.1
1.2957894736842106,-7.894736842105262e-05,253744297046326.75
1.2957894736842106,-2.6315789473684188e-05,252869769214553.53
1.2957894736842106,2.6315789473684188e-05,252230481844974.9
1.2957894736842106,7.894736842105267e-05,251984960940097.06
1.2957894736842106,0.00013157894736842105,250799601875276.22
1.2957894736842106,0.00018421052631578953,248053432879432.7
1.2957894736842106,0.0002368421052631579,240793993024610.75
1.2957894736842106,0.0002894736842105264,227895423352291.25
1.2957894736842106,0.00034210526315789477,208163249406998.78
1.2957894736842106,0.00039473684210526315,178516332494574.12
1.2957894736842106,0.00044736842105263163,148985612294440.9
1.2957894736842106,0.0005,122813567366125.28
